i current best mean
0 98.6214209968 98.6214209968 98.6214209968
1 97.280334728 98.6214209968 97.9508778624
2 99.2 99.2 98.3672519083
3 96.7238689548 99.2 97.9564061699
4 99.2 99.2 98.2051249359
5 97.4842767296 99.2 98.0849835682
6 99.8925886144 99.8925886144 98.3432128605
7 99.4652406417 99.8925886144 98.4834663332
8 97.280334728 99.8925886144 98.3497850437
9 99.6250669523 99.8925886144 98.4773132346
10 96.6735966736 99.8925886144 98.3133390017
11 99.518459069 99.8925886144 98.413765674
12 98.6737400531 99.8925886144 98.4337637032
13 98.7785448752 99.8925886144 98.4583909298
14 99.4652406417 99.8925886144 98.5255142439
15 99.8925886144 99.8925886144 98.610956392
16 96.9254820219 99.8925886144 98.5118108409
17 99.9462654487 99.9462654487 98.5915027635
18 99.9462654487 99.9462654487 98.6628060627
19 100.0 100.0 98.7296657596
20 99.4120791021 100.0 98.762161633
21 98.7785448752 100.0 98.7629063259
22 99.518459069 100.0 98.7957564451
23 99.4120791021 100.0 98.8214365558
24 98.7261146497 100.0 98.8176236796
25 99.2 100.0 98.8323304612
26 98.0495519241 100.0 98.8033386635
27 99.2 100.0 98.8175051398
28 99.4652406417 100.0 98.8398408467
29 100.0 100.0 98.8785128185
30 99.4652406417 100.0 98.8974395225
31 99.9462654487 100.0 98.9302153327
32 99.4652406417 100.0 98.9464282208
33 98.3606557377 100.0 98.9291996184
34 97.280334728 100.0 98.882089193
35 99.3059263214 100.0 98.8938624465
36 97.2294824882 100.0 98.8488792044
37 100.0 100.0 98.8791718569
38 99.6250669523 100.0 98.8982973722
39 99.518459069 100.0 98.9138014146
40 99.2 100.0 98.9207818679
41 99.518459069 100.0 98.9350122775
42 99.9462654487 100.0 98.9585297931
43 96.3231486277 100.0 98.8986347666
44 99.8389694042 100.0 98.9195310919
45 99.4652406417 100.0 98.931394343
46 98.8835725678 100.0 98.9303768584
47 99.4120791021 100.0 98.9404123218
48 97.1279373368 100.0 98.9034230364
49 98.2048574446 100.0 98.8894517245
50 99.358974359 100.0 98.8986580507
51 99.7854077253 100.0 98.9157109291
52 97.7917981073 100.0 98.8945050268
53 100.0 100.0 98.9149771559
54 97.9978925184 100.0 98.8983028898
55 95.8268933539 100.0 98.8434562909
56 100.0 100.0 98.8637465314
57 99.3059263214 100.0 98.8713703209
58 98.8310308183 100.0 98.8706866005
59 97.9978925184 100.0 98.8561400325
60 97.1279373368 100.0 98.8278088408
61 99.2529348986 100.0 98.8346657127
62 100.0 100.0 98.8531630823
63 100.0 100.0 98.8710824091
64 99.518459069 100.0 98.8810420501
65 99.5717344754 100.0 98.8915070868
66 99.8925886144 100.0 98.9064486021
67 99.9462654487 100.0 98.9217400264
68 97.8947368421 100.0 98.9068559222
69 97.9462875197 100.0 98.8931335165
70 97.6377952756 100.0 98.8754526962
71 99.5717344754 100.0 98.8851232765
72 98.6737400531 100.0 98.8822276159
73 99.518459069 100.0 98.8908253382
74 95.8268933539 100.0 98.8499729117
75 99.2 100.0 98.8545785313
76 99.9462654487 100.0 98.8687562835
77 98.3606557377 100.0 98.8622421739
78 99.9462654487 100.0 98.8759639875
79 99.518459069 100.0 98.8839951761
80 99.7854077253 100.0 98.8951237261
81 99.9462654487 100.0 98.9079425275
82 97.1786833856 100.0 98.8871080801
83 100.0 100.0 98.9003567934
84 97.3821989529 100.0 98.8824961129
85 99.4652406417 100.0 98.8892722121
86 99.2 100.0 98.8928437959
87 98.3086680761 100.0 98.8862054354
88 99.6250669523 100.0 98.8945072502
89 99.4652406417 100.0 98.9008487323
90 99.8389694042 100.0 98.9111577507
91 98.3606557377 100.0 98.9051740332
92 99.518459069 100.0 98.9117684959
93 98.1012658228 100.0 98.9031461271
94 97.2294824882 100.0 98.8855286151
95 98.3606557377 100.0 98.8800611893
96 99.5717344754 100.0 98.8871918417
97 96.6233766234 100.0 98.8640916864
98 99.9462654487 100.0 98.8750227345
99 99.2 100.0 98.8782725072
