i current best mean
0 95.7174116912 95.7174116912 95.7174116912
1 98.1724911831 98.1724911831 96.9449514371
2 92.4516908213 98.1724911831 95.4471978985
3 94.8574969021 98.1724911831 95.2997726494
4 95.7174116912 98.1724911831 95.3833004577
5 97.3299427845 98.1724911831 95.7077408455
6 99.0617923002 99.0617923002 96.1868910534
7 96.1381475667 99.0617923002 96.1807981175
8 97.6091807459 99.0617923002 96.3395072985
9 96.077816128 99.0617923002 96.3133381814
10 95.7174116912 99.0617923002 96.2591630459
11 97.5780752071 99.0617923002 96.3690723927
12 97.7026164646 99.0617923002 96.4716527059
13 94.1864041833 99.0617923002 96.3084206686
14 96.4105793451 99.0617923002 96.315231247
15 96.1683417085 99.0617923002 96.3060506509
16 94.1864041833 99.0617923002 96.1813655645
17 95.6875 99.0617923002 96.1539285887
18 95.3300124533 99.0617923002 96.1105645816
19 95.4191336865 99.0617923002 96.0759930369
20 97.0522979398 99.0617923002 96.1224837465
21 97.1446700508 99.0617923002 96.1689467603
22 94.8574969021 99.0617923002 96.1119272013
23 95.7772912105 99.0617923002 96.097984035
24 97.0522979398 99.0617923002 96.1361565912
25 93.268352117 99.0617923002 96.0258564191
26 97.2372181645 99.0617923002 96.0707216689
27 94.0417690418 99.0617923002 95.9982590751
28 94.7694212318 99.0617923002 95.9558853564
29 96.2893081761 99.0617923002 95.9669994504
30 94.5061728395 99.0617923002 95.9198760113
31 96.2287869265 99.0617923002 95.9295294774
32 96.0175603638 99.0617923002 95.93219708
33 95.3003423592 99.0617923002 95.9136131176
34 94.7400990099 99.0617923002 95.8800841431
35 94.5061728395 99.0617923002 95.8419199403
36 94.5061728395 99.0617923002 95.8058186673
37 95.7174116912 99.0617923002 95.8034921679
38 97.4228444162 99.0617923002 95.8450140204
39 97.3299427845 99.0617923002 95.8821372395
40 96.6845595201 99.0617923002 95.9017085147
41 95.8972752897 99.0617923002 95.9016029617
42 96.077816128 99.0617923002 95.9057009423
43 98.5833869929 99.0617923002 95.9665574434
44 95.5680399501 99.0617923002 95.9577014991
45 94.2153846154 99.0617923002 95.9198250452
46 97.4538510503 99.0617923002 95.9524638963
47 95.9573801316 99.0617923002 95.9525663179
48 95.6875 99.0617923002 95.9471568012
49 96.7150979154 99.0617923002 95.9625156235
50 93.6964504284 99.0617923002 95.9180829726
51 97.3918575064 99.0617923002 95.9464247906
52 94.1574415744 99.0617923002 95.9126703903
53 95.987460815 99.0617923002 95.9140553981
54 99.0617923002 99.0617923002 95.9712869782
55 95.004654049 99.0617923002 95.9540256759
56 95.7772912105 99.0617923002 95.9509250712
57 97.9526551504 99.0617923002 95.9854376588
58 97.4848774276 99.0617923002 96.0108518921
59 99.3510707333 99.3510707333 96.0665222062
60 93.6105166616 99.3510707333 96.0262598202
61 96.6845595201 99.3510707333 96.0368775573
62 96.2287869265 99.3510707333 96.0399237377
63 97.6714513557 99.3510707333 96.0654163568
64 94.3314849045 99.3510707333 96.0387404883
65 94.3314849045 99.3510707333 96.0128729794
66 96.8068289598 99.3510707333 96.0247230687
67 97.7650063857 99.3510707333 96.0503154704
68 96.4409448819 99.3510707333 96.0559767662
69 96.8987341772 99.3510707333 96.0680161578
70 93.9263803681 99.3510707333 96.0378522734
71 95.9573801316 99.3510707333 96.0367346048
72 94.3314849045 99.3510707333 96.0133750199
73 97.2372181645 99.3510707333 96.0299134407
74 96.5017333754 99.3510707333 96.0362043732
75 94.5645460161 99.3510707333 96.0168404475
76 95.5084217093 99.3510707333 96.0102376067
77 95.2114427861 99.3510707333 95.9999966475
78 96.7456556082 99.3510707333 96.0094353685
79 97.2681067344 99.3510707333 96.0251687606
80 95.8072590738 99.3510707333 96.0224785175
81 95.3894080997 99.3510707333 96.0147581466
82 95.2114427861 99.3510707333 96.0050796482
83 97.5780752071 99.3510707333 96.0238057859
84 96.6235405491 99.3510707333 96.0308614889
85 96.0175603638 99.3510707333 96.0307068247
86 97.1446700508 99.3510707333 96.0435109997
87 94.7400990099 99.3510707333 96.0286994998
88 98.0467499199 99.3510707333 96.0513742237
89 97.5780752071 99.3510707333 96.0683375679
90 95.7772912105 99.3510707333 96.0651392563
91 96.5930599369 99.3510707333 96.0708775246
