Startpoint	Solution
89.7250361795	100.0
87.2011251758	95.8762886598
87.0379036032	96.7238689548
87.5706214689	97.0772442589
86.5518845975	98.5691573927
89.3371757925	99.4652406417
89.1231432678	99.9462654487
88.3190883191	100.0
86.0314523589	97.8947368421
86.1509958314	100.0
86.1909175162	100.0
88.4450784593	99.9462654487
86.1509958314	99.8389694042
86.4312267658	99.6250669523
90.775988287	99.9462654487
90.9980430528	97.5353959098
88.995215311	99.9462654487
85.4386770785	98.7261146497
86.7132867133	98.5169491525
88.4030418251	98.4647961885
87.8601794993	100.0
87.323943662	97.3821989529
90.7317073171	98.9361702128
88.9526542324	96.8245705362
85.2428964253	99.518459069
87.9848628193	99.4652406417
89.3801057184	99.2
89.5953757225	99.518459069
90.3351141331	98.3086680761
89.2086330935	97.7404098791
91.3555992141	99.9462654487
85.8725761773	99.9462654487
91.3107511046	98.3606557377
89.4230769231	97.8432403998
87.323943662	99.4120791021
88.4871550904	99.4120791021
86.1909175162	99.518459069
88.4871550904	100.0
87.4882408278	99.8925886144
88.995215311	97.1279373368
83.7837837838	98.8310308183
87.5294117647	100.0
90.5991232343	98.5691573927
87.2420262664	99.9462654487
88.1099005211	97.9978925184
84.9703060758	99.4652406417
88.613625536	99.9462654487
86.6325104797	99.9462654487
84.6609012289	99.2529348986
88.7404580153	99.2
89.0378171374	100.0
86.511627907	99.4652406417
90.6874695271	97.5865687303
91.4904082636	98.3606557377
87.1194379391	98.5169491525
84.6609012289	100.0
89.9419729207	100.0
86.511627907	98.9888238425
84.5070422535	98.4647961885
89.2514395393	99.518459069
89.0378171374	98.6737400531
86.3109048724	99.7854077253
88.4871550904	98.3606557377
90.203685742	99.0415335463
85.6748042377	100.0
89.8550724638	100.0
86.9565217391	99.2
89.2942870859	97.5353959098
87.8601794993	100.0
88.2771713336	99.9462654487
86.4312267658	100.0
89.2942870859	99.2529348986
86.9158878505	100.0
87.4471086037	99.8925886144
87.323943662	100.0
88.995215311	98.8310308183
85.4386770785	99.6250669523
87.2011251758	99.2
88.6558627264	98.5169491525
88.2352941176	96.4230171073
89.552238806	99.9462654487
90.1599612215	98.5691573927
86.7942137191	100.0
89.7683397683	100.0
89.4660894661	99.518459069
87.8186968839	98.8310308183
88.2771713336	96.8245705362
90.3351141331	99.6250669523
87.7358490566	99.8389694042
88.5292717753	96.6233766234
91.3107511046	99.7854077253
86.8752919197	97.4332111053
86.6728797763	97.6377952756
89.1658676894	97.8432403998
86.3910822109	100.0
86.0314523589	95.9257349149
87.9017013233	99.6250669523
90.7317073171	96.8245705362
89.1658676894	99.2
86.6728797763	99.518459069
