Startpoint	Solution
76.9298632554	97.8675645342
69.8717948718	93.713057496
75.0430292599	97.1046770601
73.0930427494	97.2671500279
74.5936698033	97.9225154408
74.1496598639	94.8857453754
71.9175257732	93.914916532
73.338940286	94.2702702703
74.6575342466	94.4233892799
77.4422735346	97.484628284
74.2759795571	96.620498615
71.5927750411	92.4218335983
76.9977924945	98.8662131519
76.4576939939	96.6740576497
73.5554618305	93.914916532
72.3351306512	96.0352422907
73.2157850546	95.2484980885
73.3697938578	94.9373979314
75.0107526882	93.9655172414
69.5929768555	92.177589852
70.9231394876	93.2121859968
75.6616052061	96.620498615
73.7732656514	93.3119315142
76.7605633803	97.3757677275
79.4533029613	95.0408719346
73.2157850546	96.0352422907
73.5554618305	96.94274597
70.7505070994	95.4570333881
74.9140893471	95.8241758242
72.5457570715	97.484628284
70.9231394876	96.94274597
79.8169336384	95.092693566
72.215320911	94.0161725067
73.7109044801	96.08815427
75.204829668	95.092693566
73.8357324301	98.1429375352
74.8497854077	94.0668824164
70.7218167072	97.8675645342
72.2452361226	96.3003865268
72.6969570654	96.3003865268
71.7695473251	93.3119315142
73.7109044801	95.1445717403
73.0318257956	94.2193408968
69.8997995992	93.6627282492
71.7400246812	95.4570333881
75.7273122015	96.620498615
67.965705378	94.0668824164
74.4980777446	95.4048140044
72.8487886383	93.5622317597
70.3225806452	95.7715540912
72.5155925156	95.7715540912
73.0624214495	95.9823885526
73.8357324301	94.8857453754
73.9609838846	94.8857453754
73.0318257956	94.8857453754
75.4978354978	96.1411245865
75.8920800696	96.3535911602
76.357267951	93.6627282492
73.2157850546	99.2036405006
75.8920800696	98.0326025857
77.7876895629	95.9295929593
70.2093397746	94.6283233858
71.7105263158	99.2601024474
73.1850608477	95.8241758242
80.7781380269	94.6796959826
73.9609838846	94.6796959826
77.7876895629	94.9373979314
72.4553385958	96.08815427
71.7990942775	95.0408719346
78.2062780269	96.0352422907
69.178897263	97.1046770601
70.9808709809	97.2671500279
73.0930427494	96.9966629588
71.3000817661	95.9295929593
76.4576939939	95.7189901207
70.6072874494	96.5135583841
74.9462827675	96.6740576497
75.5305326981	95.1445717403
69.6485623003	97.5391498881
73.3081126524	92.8647497338
73.5244519393	95.5616438356
71.8582612279	97.4301675978
76.3907139728	96.3003865268
75.6287944493	94.834148994
70.436187399	96.1411245865
75.4651665945	93.4118907338
67.0511341792	96.0352422907
72.6969570654	95.7715540912
74.2127659574	95.0408719346
73.5864978903	97.484628284
74.3076267576	98.1429375352
70.1528559936	95.0408719346
69.0966719493	94.9373979314
75.4978354978	94.2702702703
71.1836734694	94.4233892799
75.0753336203	99.1472427516
76.0907504363	93.5120643432
76.1239633348	93.713057496
72.0959073998	93.4619506967
69.7321071571	98.3089064262
